Rota,Etapa,Combustivel,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
R3,Aciaria,Gas natural,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
R3,Aciaria,Carvao metalurgico,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029
R3,Aciaria,Lenha,,,,,,,,,,,,,,,
R3,Aciaria,Produtos da cana,,,,,,,,,,,,,,,
R3,Aciaria,Outras fontes primarias,,,,,,,,,,,,,,,
R3,Aciaria,Oleo diesel,,,,,,,,,,,,,,,
R3,Aciaria,Oleo combustivel,,,,,,,,,,,,,,,
R3,Aciaria,Gasolina,,,,,,,,,,,,,,,
R3,Aciaria,GLP,,,,,,,,,,,,,,,
R3,Aciaria,Querosene,,,,,,,,,,,,,,,
R3,Aciaria,Gases cidade,,,,,,,,,,,,,,,
R3,Aciaria,Coque de carvao mineral,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139,0.139
R3,Aciaria,Eletricidade,5.271,5.271,5.271,5.271,5.271,5.271,5.271,5.271,5.271,5.271,5.271,5.271,5.271,5.271,5.271
R3,Aciaria,Carvao vegetal,,,,,,,,,,,,,,,
R3,Aciaria,Alcool etilico,,,,,,,,,,,,,,,
R3,Aciaria,Outras fontes secundarias,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
R3,Aciaria,Alcatrao,,,,,,,,,,,,,,,
R3,Laminacao,Gas natural,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114,1.114
R3,Laminacao,Carvao metalurgico,,,,,,,,,,,,,,,
R3,Laminacao,Lenha,,,,,,,,,,,,,,,
R3,Laminacao,Produtos da cana,,,,,,,,,,,,,,,
R3,Laminacao,Outras fontes primarias,,,,,,,,,,,,,,,
R3,Laminacao,Oleo diesel,,,,,,,,,,,,,,,
R3,Laminacao,Oleo combustivel,,,,,,,,,,,,,,,
R3,Laminacao,Gasolina,,,,,,,,,,,,,,,
R3,Laminacao,GLP,,,,,,,,,,,,,,,
R3,Laminacao,Querosene,,,,,,,,,,,,,,,
R3,Laminacao,Gases cidade,,,,,,,,,,,,,,,
R3,Laminacao,Coque de carvao mineral,,,,,,,,,,,,,,,
R3,Laminacao,Eletricidade,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989
R3,Laminacao,Carvao vegetal,,,,,,,,,,,,,,,
R3,Laminacao,Alcool etilico,,,,,,,,,,,,,,,
R3,Laminacao,Outras fontes secundarias,,,,,,,,,,,,,,,
R3,Laminacao,Alcatrao,,,,,,,,,,,,,,,
R3,Outros,Gas natural,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067
R3,Outros,Carvao metalurgico,,,,,,,,,,,,,,,
R3,Outros,Lenha,,,,,,,,,,,,,,,
R3,Outros,Produtos da cana,,,,,,,,,,,,,,,
R3,Outros,Outras fontes primarias,,,,,,,,,,,,,,,
R3,Outros,Oleo diesel,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
R3,Outros,Oleo combustivel,,,,,,,,,,,,,,,
R3,Outros,Gasolina,,,,,,,,,,,,,,,
R3,Outros,GLP,,,,,,,,,,,,,,,
R3,Outros,Querosene,,,,,,,,,,,,,,,
R3,Outros,Gases cidade,,,,,,,,,,,,,,,
R3,Outros,Coque de carvao mineral,,,,,,,,,,,,,,,
R3,Outros,Eletricidade,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448,1.448
R3,Outros,Carvao vegetal,,,,,,,,,,,,,,,
R3,Outros,Alcool etilico,,,,,,,,,,,,,,,
R3,Outros,Outras fontes secundarias,,,,,,,,,,,,,,,
R3,Outros,Alcatrao,,,,,,,,,,,,,,,
R4,Gas natural,Sinterizacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Carvao metalurgico,Sinterizacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Lenha,Sinterizacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Produtos da cana,Sinterizacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Outras fontes primarias,Sinterizacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Oleo diesel,Sinterizacao,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
R4,Oleo combustivel,Sinterizacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Gasolina,Sinterizacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,GLP,Sinterizacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Querosene,Sinterizacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Gases cidade,Sinterizacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Coque de carvao mineral,Sinterizacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Eletricidade,Sinterizacao,0.3851856,0.3851856,0.3851856,0.3851856,0.3851856,0.3851856,0.3851856,0.3851856,0.3851856,0.3851856,0.3851856,0.3851856,0.3851856,0.3851856,0.3851856
R4,Carvao vegetal,Sinterizacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Alcool etilico,Sinterizacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Outras fontes secundarias,Sinterizacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Alcatrao,Sinterizacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Gas natural,Alto-forno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Carvao metalurgico,Alto-forno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Lenha,Alto-forno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Produtos da cana,Alto-forno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Outras fontes primarias,Alto-forno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Oleo diesel,Alto-forno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Oleo combustivel,Alto-forno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Gasolina,Alto-forno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,GLP,Alto-forno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Querosene,Alto-forno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Gases cidade,Alto-forno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Coque de carvao mineral,Alto-forno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Eletricidade,Alto-forno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Carvao vegetal,Alto-forno,17.6096808,17.6096808,17.6096808,17.6096808,17.6096808,17.6096808,17.6096808,17.6096808,17.6096808,17.6096808,17.6096808,17.6096808,17.6096808,17.6096808,17.6096808
R4,Alcool etilico,Alto-forno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Outras fontes secundarias,Alto-forno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,Alcatrao,Alto-forno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
